partei,titel_dummy,minimum,arith_mittel,std_abweichung,median,maximum,anzahl
Union,FALSE,24,49.58793969849246,9.71362966605556,51,70,199
Union,TRUE,32,50.97959183673469,9.627412675788442,50,75,49
SPD,FALSE,26,50.14074074074074,9.564520072817444,52,68,135
SPD,TRUE,33,50.77777777777778,8.82885711452609,49,67,27
AfD,FALSE,26,49.60294117647059,11.95656280899504,49,77,68
AfD,TRUE,28,54.85,13.538541474736409,55.5,76,20
FDP,FALSE,24,44.82089552238806,9.79320322922582,46,66,67
FDP,TRUE,31,48.705882352941174,13.864363967932107,46,76,17
BÜNDNIS 90/DIE GRÜNEN,FALSE,32,48.10909090909091,9.746172519911536,49,64,55
BÜNDNIS 90/DIE GRÜNEN,TRUE,33,43.75,8.8656641037206,42.5,64,16
DIE LINKE.,FALSE,27,48.719298245614034,9.71882265423447,50,66,57
DIE LINKE.,TRUE,48,56.833333333333336,6.671967589485992,56,69,12
Plos,FALSE,31,45.875,9.140764269390795,44.5,59,8
Plos,TRUE,42,45,4.242640687119285,45,48,2
